  0.0003           0.0009          0.9997         -0.0845         -0.1231         -0.0785          0.5916          0.0584          0.8041          0.0028
  0.0006          -0.0013          1.0014          0.0375         -0.0316          0.0739          0.5872          0.0580          0.8074          0.0028
 -0.0014          -0.0006          1.0009         -0.0540         -0.0012         -0.1090          0.5916          0.0584          0.8041          0.0028
  0.0003          -0.0006          1.0043         -0.0235         -0.0926         -0.1090          0.5961          0.0589          0.8008          0.0028
  0.0006           0.0043          1.0004          0.0680         -0.0012          0.0434          0.5916          0.0584          0.8041          0.0028
  0.0023           0.0011          1.0002          0.0985          0.0598         -0.0175          0.5828          0.0575          0.8106          0.0028
  0.0001           0.0018          0.9989          0.0070          0.1513         -0.0785          0.5961          0.0589          0.8008          0.0028
  0.0003           0.0001          0.9977         -0.0235         -0.0012         -0.0480          0.5872          0.0580          0.8074          0.0028
  0.0010          -0.0013          1.0014         -0.0540         -0.0012         -0.1395          0.5872          0.0580          0.8074          0.0028
  0.0013           0.0014          0.9999         -0.1454         -0.0012         -0.1395          0.5831          0.0487          0.8110          0.0028
  0.0001           0.0004          1.0019          0.0070          0.1818         -0.2005          0.5875          0.0491          0.8078          0.0028
  0.0001          -0.0016          1.0036         -0.0235         -0.0316         -0.0785          0.5916          0.0584          0.8041          0.0028
  0.0028           0.0001          1.0028         -0.0540         -0.0012          0.0434          0.5916          0.0584          0.8041          0.0028
  0.0006           0.0001          1.0002          0.0985          0.0903         -0.0480          0.5825          0.0664          0.8101          0.0028
  0.0001          -0.0018          1.0021         -0.0845         -0.0621          0.0434          0.5872          0.0580          0.8074          0.0028
  0.0008          -0.0008          0.9982          0.0070         -0.0012          0.0130          0.5916          0.0584          0.8041          0.0028
 -0.0012           0.0036          0.9999          0.0375         -0.0621         -0.0480          0.5810          0.0672          0.8111          0.0028
 -0.0004           0.0006          0.9989          0.0070          0.0293         -0.0175          0.5916          0.0584          0.8041          0.0028
 -0.0007          -0.0016          1.0016          0.0375         -0.0926          0.1044          0.5916          0.0584          0.8041          0.0028
 -0.0004          -0.0006          1.0033          0.0375         -0.0012         -0.0785          0.5919          0.0495          0.8045          0.0028
 -0.0009           0.0018          1.0009         -0.0845          0.0293         -0.0175          0.5916          0.0584          0.8041          0.0028
  0.0006          -0.0011          0.9982         -0.0235         -0.0621         -0.0175          0.5961          0.0589          0.8008          0.0028
  0.0025           0.0026          0.9994          0.0680         -0.0926          0.0739          0.5810          0.0672          0.8111          0.0028
  0.0015           0.0014          1.0019          0.0375          0.0598          0.1349          0.5813          0.0583          0.8116          0.0028
 -0.0007           0.0011          0.9982         -0.0540          0.0903         -0.0480          0.5872          0.0580          0.8074          0.0028
  0.0008           0.0011          1.0011          0.0985          0.0598          0.1349          0.5828          0.0575          0.8106          0.0028
 -0.0009          -0.0011          1.0024         -0.0845         -0.0316         -0.0175          0.5828          0.0575          0.8106          0.0028
 -0.0002          -0.0003          1.0011         -0.0845         -0.0316         -0.0175          0.5854          0.0677          0.8079          0.0028
 -0.0016           0.0028          1.0004         -0.0235         -0.0621         -0.1090          0.5916          0.0584          0.8041          0.0028
 -0.0007           0.0040          1.0019          0.0070          0.0598          0.0130          0.5919          0.0495          0.8045          0.0028
  0.0003          -0.0011          1.0009         -0.0235          0.0903          0.0130          0.5813          0.0583          0.8116          0.0028
 -0.0014           0.0009          1.0002         -0.0235          0.0598         -0.0785          0.5813          0.0583          0.8116          0.0028
 -0.0009          -0.0003          1.0004         -0.0845          0.0293          0.0434          0.5831          0.0487          0.8110          0.0028
  0.0001          -0.0008          1.0002          0.0985         -0.0316          0.0130          0.5872          0.0580          0.8074          0.0028
  0.0006           0.0026          1.0011         -0.1454         -0.0012         -0.0175          0.5872          0.0580          0.8074          0.0028
  0.0010           0.0045          1.0009         -0.1759         -0.0316         -0.0175          0.5957          0.0679          0.8003          0.0028
 -0.0009           0.0006          1.0009         -0.0235          0.0598         -0.0480          0.5872          0.0580          0.8074          0.0028
  0.0008           0.0021          1.0009         -0.0235         -0.1536         -0.0480          0.5872          0.0580          0.8074          0.0028
